8.19,331.02,165.44
7.96,331.08,165.80
6.41,329.95,169.00
6.76,329.55,168.59
7.27,330.52,167.28
7.92,330.58,166.13
7.37,330.05,167.34
6.87,330.04,168.19
7.02,330.54,167.71
6.71,330.44,168.27
7.51,330.07,167.11
7.41,330.17,167.22
8.00,330.46,166.07
7.49,330.22,167.06
6.81,330.06,168.28
7.26,329.96,167.57
7.40,330.66,167.00
7.03,330.07,167.91
7.02,330.11,167.91
7.62,330.16,166.87
7.77,330.22,166.59
7.05,330.54,167.65
7.20,330.07,167.62
7.60,330.30,166.83
7.29,330.64,167.19
7.28,331.00,167.03
7.78,330.77,166.28
7.37,330.86,166.94
7.04,330.85,167.51
7.09,330.69,167.51
7.12,330.13,167.74
7.36,330.17,167.30
7.71,330.65,166.46
6.67,330.18,168.48
6.95,329.96,168.10
6.58,330.69,168.38
7.10,330.92,167.38
6.28,330.31,169.08
7.04,330.31,167.78
7.68,330.67,166.50
7.17,330.55,167.44
7.00,329.79,168.09
7.42,330.05,167.26
7.40,330.07,167.28
6.92,330.74,167.77
7.46,330.72,166.85
6.92,330.72,167.79
6.76,331.60,167.63
6.44,331.16,168.41
7.07,330.28,167.75
6.73,330.10,168.41
7.26,330.85,167.13
7.24,329.67,167.75
7.51,329.33,167.47
7.67,329.75,166.99
7.71,329.93,166.84
7.33,329.44,167.70
7.26,329.72,167.70
7.40,330.41,167.12
7.73,330.46,166.52
8.15,330.43,165.84
8.03,330.62,165.93
6.90,330.48,167.94
7.30,330.79,167.10
7.24,330.43,167.37
7.75,330.48,166.49
7.49,330.79,166.77
7.06,330.42,167.70
7.34,330.23,167.31
7.24,330.72,167.23
7.74,330.56,166.46
6.97,329.84,168.12
7.03,329.75,168.05
7.78,329.39,167.00
8.05,330.34,166.05
7.47,330.95,166.72
7.31,330.60,167.18
7.34,330.29,167.28
7.79,331.45,165.88
7.28,331.84,166.57
6.48,331.31,168.27
7.06,331.64,167.08
5.67,331.58,169.61
5.17,331.03,170.71
6.10,330.97,169.11
7.10,331.24,167.21
7.03,330.43,167.73
8.09,330.25,166.04
8.27,330.77,165.44
8.37,331.36,164.92
7.36,331.20,166.78
6.12,331.14,168.99
6.51,330.71,168.49
7.24,330.33,167.43
7.90,330.55,166.20
9.47,330.37,163.65
10.58,330.21,161.94
10.15,330.25,162.60
9.40,330.25,163.84
8.55,330.47,165.14
7.58,330.52,166.75
8.08,330.20,166.08
9.19,330.71,163.91
10.09,331.56,161.82
10.25,331.69,161.44
10.12,331.88,161.54
9.50,331.92,162.59
8.64,332.00,164.05
8.12,331.85,165.06
8.46,331.95,164.40
8.58,332.04,164.13
8.39,331.71,164.68
9.34,332.00,162.81
9.41,331.54,163.00
8.80,331.09,164.34
8.33,330.17,165.67
8.52,330.43,165.21
8.38,330.91,165.17
8.31,330.97,165.26
8.15,330.40,165.84
8.81,330.29,164.80
8.72,330.15,165.04
9.46,330.72,163.44
8.50,330.58,165.15
8.82,330.61,164.60
9.59,331.12,162.97
8.44,332.08,164.36
7.36,332.11,166.29
7.40,331.55,166.51
7.69,331.26,166.16
8.05,331.13,165.61
8.46,330.01,165.56
8.98,330.44,164.43
9.37,330.78,163.57
8.69,330.41,164.94
7.89,330.69,166.14
8.04,330.83,165.79
8.45,330.96,165.01
8.43,330.87,165.11
8.51,331.25,164.74
8.89,331.41,163.99
7.39,330.81,166.93
7.70,330.29,166.67
8.95,330.99,164.15
8.18,331.35,165.26
8.11,330.85,165.67
9.00,330.94,164.10
8.69,331.35,164.37
8.82,331.84,163.84
7.93,331.44,165.65
8.41,331.44,164.81
8.30,331.23,165.12
7.60,330.98,166.48
8.67,330.68,164.81
8.88,330.55,164.53
8.25,331.28,165.18
8.43,331.80,164.54
8.08,331.71,165.23
7.87,331.56,165.69
7.35,330.70,167.05
8.74,330.49,164.81
8.80,330.68,164.58
8.99,330.39,164.44
9.08,330.42,164.28
8.76,331.00,164.46
8.03,330.69,165.89
7.87,330.81,166.11
7.98,330.60,166.02
9.05,330.49,164.28
9.48,331.40,162.98
8.27,331.56,164.98
8.01,330.82,165.86
8.02,330.30,166.13
7.58,331.13,166.43
7.74,330.95,166.25
8.10,330.94,165.63
8.03,330.63,165.93
8.19,330.63,165.65
8.74,330.39,164.86
8.15,330.07,166.04
8.33,330.01,165.76
8.73,331.28,164.35
7.93,331.11,165.84
7.98,330.94,165.84
7.94,330.78,166.01
8.19,331.24,165.31
9.06,331.19,163.83
8.08,330.94,165.67
8.09,331.60,165.28
8.53,331.47,164.57
7.62,330.86,166.50
7.93,330.42,166.22
8.25,331.01,165.33
7.96,331.07,165.81
8.43,330.77,165.17
8.72,330.82,164.64
8.26,331.20,165.20
7.69,331.22,166.20
8.41,330.79,165.19
8.18,330.34,165.83
8.24,330.90,165.41
9.06,331.11,163.87
8.70,330.78,164.71
8.49,330.77,165.06
8.26,331.28,165.16
7.67,331.04,166.32
7.56,330.72,166.68
8.44,331.28,164.84
7.86,331.16,165.92
8.85,331.33,164.10
9.17,330.60,164.01
8.56,331.16,164.72
8.80,331.12,164.32
9.41,330.64,163.58
8.43,331.21,164.90
8.51,331.64,164.50
9.25,331.35,163.40
9.72,330.94,162.87
9.60,331.74,162.54
8.20,331.58,165.08
8.58,330.53,165.05
8.89,331.03,164.23
9.06,331.27,163.77
7.92,331.19,165.80
7.87,330.88,166.06
8.32,330.38,165.57
9.16,329.59,164.64
9.70,329.33,163.92
9.79,330.29,163.18
10.67,331.52,160.84
8.75,330.84,164.58
8.29,330.08,165.79
8.54,331.20,164.72
7.45,331.47,166.48
8.33,330.47,165.51
9.85,330.16,163.15
9.88,330.39,162.96
9.88,330.54,162.86
10.55,330.72,161.63
9.88,331.15,162.45
8.17,331.01,165.48
9.19,330.46,164.07
8.46,330.56,165.23
8.42,331.10,164.98
9.19,330.52,164.04
8.45,330.66,165.19
7.82,330.07,166.57
8.00,329.25,166.71
7.90,329.44,166.77
7.68,330.46,166.61
7.12,330.77,167.41
7.50,330.33,166.98
7.20,329.94,167.68
7.22,330.38,167.43
7.23,330.12,167.55
7.18,329.41,167.97
7.34,329.68,167.57
7.84,330.74,166.19
7.74,330.26,166.61
7.96,329.10,166.85
8.03,329.33,166.61
7.94,330.48,166.16
7.80,329.88,166.72
8.11,329.24,166.54
8.25,328.88,166.49
7.97,328.53,167.12
8.10,328.88,166.73
9.43,328.97,164.57
8.22,329.48,166.22
7.79,329.99,166.67
8.25,330.82,165.44
7.91,330.29,166.32
7.14,330.06,167.72
8.52,328.88,166.07
10.71,329.73,162.05
9.90,330.79,162.67
7.50,329.96,167.17
8.74,329.52,165.37
9.17,330.35,164.17
8.94,330.37,164.54
9.89,329.52,163.50
9.39,329.32,164.43
8.71,330.15,165.06
